id,title,description,content,source,publishedAt,URL,imgURL,category
39,Bob Bryar dead: Former My Chemical Romance drummer dies aged 44 - BBC.com,"He helped write songs for acclaimed record The Black Parade, deemed a '"defining album'" by critics.","Bob Bryar, former drummer for American rock band My Chemical Romance (MCR), has died aged 44 at his Tennessee home, according to US media.
He was the longest-serving drummer for the group, playing w… [+1683 chars]",BBC News,2024-12-01 13:38:11,https://www.bbc.com/news/articles/cy8n8dxy2j5o,https://ichef.bbci.co.uk/news/1024/branded_news/f325/live/142dc020-afec-11ef-93a6-9fd2d3586a96.jpg,Entertainment
57,It Used to Be One of the Main Ways Men Talked to Each Other. Then Everyone Went Silent. - Slate,I met some of my closest friends through multiplayer games. Then a strange happening turned everyone (literally) speechless.,"In 2005 I received a copy of World of Warcraft for my birthday. The game clocked in at 3 gigabytesa behemoth by the standards of the early 2000s, so big that it had to be distributed across four diff… [+13769 chars]",Slate Magazine,2024-12-01 15:00:00,https://slate.com/culture/2024/12/video-games-world-warcraft-multiplayer-call-duty-halo.html,https://compote.slate.com/images/e853f8a9-d8c5-49f9-9ed6-1cceb307dedc.jpeg?crop=1560%2C1040%2Cx0%2Cy0&width=1560,Technology
64,"Bo Nix, Broncos inch closer to playoff contention after outlasting Browns in surprising offensive thriller - Yahoo Sports",Denver is trying to make the playoff for the first time since 2015.,"The last time the Denver Broncos made the playoffs was the end of the 2015 season. That was Peyton Mannings last season, and the last time the Broncos had a viable quarterback.
Bo Nix is helping end… [+10365 chars]",Yahoo Entertainment,2024-12-03 04:52:29,https://sports.yahoo.com/live/bo-nix-broncos-inch-closer-to-playoff-contention-after-outlasting-browns-in-surprising-offensive-thriller-235724933.html,https://s.yimg.com/ny/api/res/1.2/.A05BpadrrTUwAb1_bp4HQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-11/3cb73180-b130-11ef-b7fb-672fa86a5e2b,Sports
73,Exploring Alien Oceans: NASA’s Bold Mission to Uranus’ Moons - SciTechDaily,"Nearly 40 years after Voyager 2''s journey, NASA plans to revisit Uranus to explore its moons for hidden liquid water oceans, using a new computer model. This model analyzes the moons'' rotational wobbles to infer the presence and size of subsurface oceans. The…","Using advanced models to detect rotational wobbles, NASA seeks to uncover hidden oceans on Uranus’s moons, potentially expanding the known environments where life could exist in the galaxy. Credit: D… [+5841 chars]",SciTechDaily,2024-12-03 02:55:04,https://scitechdaily.com/exploring-alien-oceans-nasas-bold-mission-to-uranus-moons/,https://scitechdaily.com/images/Ariel-Oribital-Wobbles.jpg,Environment
81,GOG’s preservation program lets you keep playing games after they’re delisted - The Verge,"GOG says that it will continue to support games in its preservation program even after they have been delisted, as Warcraft 1 and 2 will soon be.","GOGs preservation program lets you keep playing games after theyre delisted
GOGs preservation program lets you keep playing games after theyre delisted
 / GOG is delisting Warcraft I and II, but th… [+1376 chars]",The Verge,2024-12-02 23:37:35,https://www.theverge.com/2024/12/2/24311537/gog-preservation-program-warcraft-1-2-delisted-support-continues,https://cdn.vox-cdn.com/thumbor/GypmTBdxrNMqJRnzi6J1Yf37CNk=/0x0:1200x900/1200x628/filters:focal(600x450:601x451)/cdn.vox-cdn.com/uploads/chorus_asset/file/25770485/15ae9897b2ae3c7edda1e072ee5d1376d8b4a211ccedda6afa501ec3690f3294.jpg,E-Sports
98,How to get The Verge’s new print magazine - The Verge,"Introducing Content Goblins, a new gorgeous print magazine exclusively for subscribers to The Verge.","How to get The Verges new print magazine
How to get The Verges new print magazine
 / Subscribe and get our latest beautiful / deranged print product in the mail.
ByKevin Nguyen, a features editor … [+2302 chars]",The Verge,2024-12-03 16:30:19,https://www.theverge.com/2024/12/3/24307540/verge-print-magazine-seo-content-goblins,https://cdn.vox-cdn.com/thumbor/3AF3vCG9lF9no2miACQgjCr2HaQ=/0x0:2700x1800/1200x628/filters:focal(1350x900:1351x901)/cdn.vox-cdn.com/uploads/chorus_asset/file/25760331/247261_Goblin_zine_promo_AKrales_t2_1021.jpg,Entertainment
151,Battle Of The Weight-Loss Behemoths: Eli Lilly Whomps Novo Nordisk - Investor's Business Daily,Lilly touted findings from a head-to-head study of Zepbound and Wegovy.,"Eli Lilly (LLY) said Wednesday its obesity drug Zepbound spurred more weight loss than Novo Nordisk''s (NVO) Wegovy in the first-ever head-to-head study.
XNOW PLAYINGThe Weight-Loss Drug Market Is Ho… [+2914 chars]",Investor's Business Daily,2024-12-04 16:10:00,https://www.investors.com/news/technology/eli-lilly-zepbound-beats-novo-nordisk-wegovy-in-head-to-head-weight-loss-trial/,https://www.investors.com/wp-content/uploads/2024/09/Stock-EliLilly-building-04-shutt.jpg,Lifestyle
152,Mario & Luigi Brothership developer wanted an ‘edgier’ Mario but Nintendo said no - Video Games Chronicle,"“We’d unleashed Acquire into the wild, only to go chasing after them again”…","Acquire, the studio behind Mario &amp; Luigi: Brothership, says it originally wanted to give Mario an edgier look but Nintendo wasn’t convinced.
In a new Ask the Developer interview on the official … [+2981 chars]",Video Games Chronicle,2024-12-04 14:41:38,https://www.videogameschronicle.com/news/mario-luigi-brothership-developer-wanted-an-edgier-mario-but-nintendo-said-no/,https://www.videogameschronicle.com/files/2024/12/mlb-rugged.jpg,Entertainment
153,"Waterborne Disease Outbreaks Associated with Splash Pads — United States, 1997–2022 - CDC",This report characterizes waterborne disease outbreaks associated with splash pads reported to CDC during 1997–2022.,"All Splash Pad–Associated Outbreaks
During 1997–2022, public health officials from 23 states and Puerto Rico (Figure 1) reported 60 splash pad–associated outbreaks (Table 1). These 60 outbreaks were… [+6487 chars]",Cdc.gov,2024-12-04 14:36:03,https://www.cdc.gov/mmwr/volumes/73/ss/ss7308a1.htm,https://www.cdc.gov/mmwr/volumes/73/ss/social-media/ss7308a1_WaterborneDiseaseOutbreaksSpashPads_IMAGE_3DECEMBER24_1200x675.png?_=45529,E-Sports
154,Lose Weight and Prevent Sickness: Scientists Uncover Surprising Health Benefits of Drinking Plenty of Water - SciTechDaily,"In the first systematic look, UC San Francisco researchers have discovered that drinking water benefits a range of conditions, including obesity and migraines. Public health recommendations generally suggest drinking eight cups of water a day. And many people…","A UCSF study found that drinking adequate water can prevent kidney stones, aid weight loss, and improve conditions like migraines, diabetes, UTIs, and low blood pressure, though water needs vary by i… [+3399 chars]",SciTechDaily,2024-12-04 14:06:16,https://scitechdaily.com/lose-weight-and-prevent-sickness-scientists-uncover-surprising-health-benefits-of-drinking-plenty-of-water/,https://scitechdaily.com/images/More-Drinking-Water.jpg,Health
155,Microsoft’s New Update—Bad News Confirmed For 400 Million Windows Users - Forbes,Microsoft’s security nightmare is coming true—here’s what you need to know.,"Bad news suddenly hits Microsoft 
NurPhoto via Getty Images
Republished on December 4 with Microsofts confirmation on update restrictions.
Microsoft has a surprising new problem on its hands as it… [+5071 chars]",Forbes,2024-12-04 14:26:15,https://www.forbes.com/sites/zakdoffman/2024/12/04/microsofts-bad-news-15-million-windows-users-now-at-risk/,"https://imageio.forbes.com/specials-images/imageserve/6695f3f83a87798d607daf59/0x0.jpg?format=jpg&crop=2499,1531,x443,y345,safe&height=900&width=1600&fit=bounds",Technology
156,Nuclear Hearts Of NASA’s Voyager Probes Are Dying Taking The Crafts With Them - Jalopnik,"NASA’s ancient Voyager probes run on nuclear batteries that are running out of juice, so systems are being shut down one by one to eke out power","After launching into space almost 50 years ago, NASAs Voyager probes are reaching the end of their lives. The nuclear batteries onboard the two spacecraft are running out of juice, which means NASA i… [+3067 chars]",Jalopnik,2024-12-04 14:20:00,https://jalopnik.com/nuclear-hearts-of-nasa-s-voyager-probes-are-dying-takin-1851713066,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/e622cb76734b8c18cba34a724b90d71f.jpg",Technology
157,"National signing day live: Commits, flips, rumors and best moments - ESPN","We''re tracking the latest news, rumors and class rankings updates on signing day.",College football's national signing day has kicked off with the early signing period. Class of 2025 high school recruits are now able to sign their national letters of intent to lock them into the co… [+653 chars],ESPN,2024-12-04 16:15:00,https://www.espn.com/college-football/recruiting/story/_/id/42648155/college-football-signing-day-2025-class-live-commits-flips-rumors-best-moments,https://a.espncdn.com/combiner/i?img=%2Fphoto%2F2024%2F1204%2Fr1423384_1296x729_16%2D9.jpg,E-Sports
158,Why Za’Darius Smith must take down his former team in Green Bay - Pride Of Detroit,"Taking on the Green Bay Packers, Detroit Lions defensive end Za’Darius Smith has a chance to get revenge against his former team and boost Detroit’s divisional lead.","The NFC North is easily the best division in the NFL right now. The Detroit Lions have the lead with an 11-1 record, but the Minnesota Vikings and the Green Bay Packers are right behind them. The Vik… [+4031 chars]",Prideofdetroit.com,2024-12-04 12:30:00,https://www.prideofdetroit.com/2024/12/4/24309161/why-detroit-lions-zadarius-smith-must-have-big-revenge-game-against-green-bay-packers,https://cdn.vox-cdn.com/thumbor/-kdOEUbQ7T_J-5eieNSCNQuf8ls=/0x345:5735x3348/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25765679/usa_today_24785585.jpg,E-Sports
159,ESPN is coming to the Disney Plus app starting today - The Verge,Disney Plus is bringing ESPN’s content to the popular streaming app so bundle subscribers can stream everything in one place.,"ESPN is coming to the Disney Plus app starting today
ESPN is coming to the Disney Plus app starting today
 / For now its just games and events from ESPN Plus. But next year, the real ESPN will be t… [+3289 chars]",The Verge,2024-12-04 15:00:00,https://www.theverge.com/2024/12/4/24312617/espn-disney-plus-now-available-bundle-free-preview,https://cdn.vox-cdn.com/thumbor/bXrztA7sOgXI262LqjhJ_sMPRLY=/0x0:2911x2183/1200x628/filters:focal(1456x1092:1457x1093)/cdn.vox-cdn.com/uploads/chorus_asset/file/25772407/disneyespn.jpg,E-Sports
